Capture Date,RFID #,Arm Band #,Unique bat,Previous RFID,Capture,Sex,Age,Gel Applied,Hair Sample,notes
,,,,,(R - recapture; N - new),(M - male; F - female),(A - adult; SA - subadult; J - juvenile),( 0 - negative; 1 - RB positive; 2 - R110 positive; 3 - not collected),( 0 - negative; 1 - RB positive; 2 - R110 positive; 3 - not collected),
6/11/2025,12852,1604,1,1,R,M,A,,,
6/11/2025,12871,1614,2,1,R,M,A,1,,
6/11/2025,12841,1629,3,1,R,M,A,,,
6/11/2025,12825,1632,4,1,R,M,A,1,,
6/11/2025,12844,1643,6,1,R,M,A,,,Entered wrong as SA (if ST is A)
6/11/2025,10733,1650,7,0,R,M,A,,,New PIT tag
6/11/2025,12866,1651,8,1,R,M,A,,,
6/11/2025,12834,1655,9,1,R,F,A,2,,
6/11/2025,12889,1660,10,1,R,F,A,,,Bat with pup
6/11/2025,12857,1667,11,1,R,M,A,,,
6/11/2025,12905,1669,12,1,R,F,A,,,
6/11/2025,12903,1670,13,1,R,F,A,2,,
6/11/2025,12823,1673,14,1,R,F,A,,,Bat with pup
6/11/2025,12868,1676,15,1,R,M,A,1,,
6/11/2025,12900,1683,16,1,R,M,A,,,
6/11/2025,29282,1701,17,1,R,F,A,2,,
6/11/2025,29261,1702,18,1,R,M,A,,,
6/11/2025,29294,1708,19,1,R,F,A,,,Bat with pup
6/11/2025,10729,1724,21,0,R,F,A,,,New PIT tag
6/11/2025,92652,1732,22,1,R,M,A,,,Wrong PIT tag entered (96652-not in list)
6/11/2025,10792,1734,23,0,R,M,A,,,New PIT tag (old was 92684)
6/11/2025,10824,1736,24,1,R,M,A,,,
6/11/2025,76330,1738,25,1,R,F,A,,,
6/11/2025,76350,1744,26,1,R,M,A,,,
6/11/2025,76311,1752,27,1,R,M,A,,,
6/11/2025,76351,1754,28,1,R,F,A,2,,
6/11/2025,76381,1755,29,1,R,F,A,,,
6/11/2025,76399,1756,30,1,R,M,A,,,Wrong PIT tag entered (17399-not in list)
6/11/2025,76401,1758,31,1,R,M,A,1,,
6/11/2025,10789,1759,32,0,N,M,A,,,
6/11/2025,10730,1760,33,0,N,M,A,,,
6/11/2025,10742,1761,34,0,N,M,A,,,
6/16/2025,10730,1760,33,,R,M,A,,1,Entered (wrong) as 1770 in fieldsheet
6/16/2025,10733,1650,7,,R,M,A,,0,
6/16/2025,10742,1761,34,,R,M,A,,0,
6/16/2025,10824,1736,24,,R,M,A,,1,
6/16/2025,12823,1673,14,,R,F,A,,2,Bat with pup
6/16/2025,12825,1632,4,,R,M,A,,1,
6/16/2025,12841,1629,3,,R,M,A,,0,
6/16/2025,12844,1643,6,,R,M,A,,0,
6/16/2025,12852,1604,1,,R,M,A,,1,
6/16/2025,12857,1667,11,,R,M,A,,0,
6/16/2025,12866,1651,8,,R,M,A,,1,
6/16/2025,12868,1676,15,,R,M,A,,1,
6/16/2025,12884,1637,5,,R,M,A,,0,Arm band on left
6/16/2025,12889,1660,10,,R,F,A,,2,Bat with pup
6/16/2025,12900,1683,16,,R,M,A,,1,
6/16/2025,29223,1716,20,,R,M,A,,0,
6/16/2025,76311,1752,27,,R,M,A,,1,
6/16/2025,76330,1738,25,,R,F,A,,3,Bat with pup
6/16/2025,76350,1744,26,,R,M,A,,1,
6/16/2025,76351,1754,28,,R,F,A,,2,
6/16/2025,76399,1756,30,,R,M,A,,1,
6/16/2025,76401,1758,31,,R,M,A,,1,
6/16/2025,86102,1762,35,,N,M,A,,0,
6/16/2025,86142,1734,23,,R,M,A,,0,NEW Pit tag (old was 10792 and before that was 92684)
6/16/2025,92652,1732,22,,R,M,A,,1,
